2073	57248	22.4269	0.922075	2768.37
2074	78459	30.2274	0.930683	2788.95
2087	46095	17.3575	0.940919	2822.38
2088	49093	18.1428	0.951111	2845.02
2089	50967	18.5365	0.958038	2869.98
2090	43206	15.367	0.971664	2893.6
2091	39911	13.8441	0.980221	2941.06
2075	68194	41.7705	0.951751	1715.35
2076	91151	55.4172	0.956413	1719.77
2078	29889	16.8289	0.985655	1801.9
2080	37591	21.4624	0.985387	1777.46
2081	42101	24.0433	0.980821	1785.29
2082	12893	7.56254	0.973642	1751
2083	42628	24.888	0.972394	1761.42
2084	41933	24.9457	0.966621	1739.01
2085	46907	27.9467	0.962711	1743.46
2073	59675	22.4269	0	inf
2074	0	30.2274	-nan	-nan
2087	0	17.3575	-nan	-nan
2088	0	18.1428	-nan	-nan
2089	0	18.5365	-nan	-nan
2090	0	15.367	-nan	-nan
2091	0	13.8441	-nan	-nan
2073	59361	22.4269	0.928739	2849.95
2074	81168	30.2274	0.936467	2867.42
2087	47353	17.3575	0.946992	2880.81
2088	50260	18.1428	0.957134	2894.32
2089	51881	18.5365	0.964718	2901.22
2090	43788	15.367	0.978447	2912.25
2091	40255	13.8441	0.987085	2945.78
2075	69915	41.7705	0.957859	1747.43
2076	93338	55.4172	0.962335	1750.2
2078	30048	16.8289	0.99167	1800.49
2080	37842	21.4624	0.991761	1777.82
2081	42403	24.0433	0.986817	1787.17
2082	13052	7.56254	0.979098	1762.72
2083	43128	24.888	0.978969	1770.11
2084	42617	24.9457	0.973218	1755.4
2085	47819	27.9467	0.969328	1765.22
2073	59361	22.4269	0.928739	2849.95	59361
2074	81168	30.2274	0.936467	2867.42	140529
2087	47353	17.3575	0.946992	2880.81	187882
2088	50260	18.1428	0.957134	2894.32	238142
2089	51881	18.5365	0.964718	2901.22	290023
2090	43788	15.367	0.978447	2912.25	333811
2091	40255	13.8441	0.987085	2945.78	374066
2073	59361	22.4269	0.928739	2849.95	59361
2074	81168	30.2274	0.936467	2867.42	81168
2087	47353	17.3575	0.946992	2880.81	47353
2088	50260	18.1428	0.957134	2894.32	50260
2089	51881	18.5365	0.964718	2901.22	51881
2090	43788	15.367	0.978447	2912.25	43788
2091	40255	13.8441	0.987085	2945.78	40255
2087	47353	17.3575	0.946992	2880.81	47353
2087	47352	17.3575	0.946984	2880.78	47352
2087	0	17.3575	-nan	-nan	0
2087	47353	17.3575	0.946992	2880.81	47353
2087	0	17.3575	-nan	-nan	0
2087	47352	17.3575	0.946984	2880.78	47352
2087	47352	17.3575	0.946984	2880.78	47352
2087	47352	17.3575	0.946984	2880.78	47352
2087	47352	17.3575	0.946984	2880.78	47352
2073	59361	22.4269	0.928746	2849.93	59361
2074	81168	30.2274	0.936467	2867.42	81168
2087	47352	17.3575	0.946984	2880.78	47352
2088	50260	18.1428	0.957126	2894.34	50260
2089	51880	18.5365	0.964718	2901.17	51880
2090	43790	15.367	0.978447	2912.39	43790
2091	40252	13.8441	0.987075	2945.59	40252
2075	69916	41.7705	0.957865	1747.44	69916
2076	93338	55.4172	0.96233	1750.21	93338
2078	30047	16.8289	0.99164	1800.49	30047
2080	37842	21.4624	0.99175	1777.84	37842
2081	42415	24.0433	0.986817	1787.67	42415
2082	13052	7.56254	0.979131	1762.66	13052
2083	43127	24.888	0.978969	1770.07	43127
2084	42616	24.9457	0.973218	1755.36	42616
2085	47820	27.9467	0.969346	1765.23	47820
2073	59361	22.4269	0.928746	2849.93	59361
2074	81168	30.2274	0.936467	2867.42	81168
2087	47352	17.3575	0.946984	2880.78	47352
2088	50260	18.1428	0.957126	2894.34	50260
2089	51880	18.5365	0.964718	2901.17	51880
2090	43790	15.367	0.978447	2912.39	43790
2091	40252	13.8441	0.987075	2945.59	40252
2093	22014	25.9038	0.979913	867.258	22014
2094	28237	33.035	0.982925	869.61	28237
2095	49544	57.6575	0.986583	870.968	49544
2096	14512	27.4278	0.989319	534.81	14512
2075	69916	41.7705	0.957865	1747.44	69916
2076	93338	55.4172	0.96233	1750.21	93338
2078	30047	16.8289	0.99164	1800.49	30047
2080	37842	21.4624	0.99175	1777.84	37842
2081	42415	24.0433	0.986817	1787.67	42415
2082	13052	7.56254	0.979131	1762.66	13052
2083	43127	24.888	0.978969	1770.07	43127
2084	42616	24.9457	0.973218	1755.36	42616
2085	47820	27.9467	0.969346	1765.23	47820
2073	59361	22.4269	0.928746	2849.93	59361
2074	81168	30.2274	0.936467	2867.42	81168
2087	47352	17.3575	0.946984	2880.78	47352
2088	50260	18.1428	0.957126	2894.34	50260
2089	51880	18.5365	0.964718	2901.17	51880
2090	43790	15.367	0.978447	2912.39	43790
2091	40252	13.8441	0.987075	2945.59	40252
2093	22014	25.9038	0.979913	867.258	22014
2094	28237	33.035	0.982925	869.61	28237
2095	49544	57.6575	0.986583	870.968	49544
2096	14512	27.4278	0.989319	534.81	14512
